Longitud,Latitud,Valor
-72.93780,-41.46000,5.10000
-73.60000,-41.61530,4.60000
-72.31170,-41.65110,7.90000
-73.81920,-41.86250,6.00000
-72.43500,-41.93830,10.10000
-73.97420,-42.04640,7.00000
-73.47310,-42.14080,6.50000
-73.77440,-42.45810,5.20000
-74.10810,-42.61860,5.70000
-73.77280,-42.62280,3.50000
-72.71080,-42.91470,9.40000
-73.61190,-43.10860,4.80000
-72.43080,-43.17500,11.60000
-71.93060,-43.21580,7.40000
-72.35360,-43.46830,10.00000
-71.78390,-43.61750,4.30000
-72.95470,-43.77170,8.80000
-72.40560,-43.97080,6.40000
-72.31610,-44.04830,7.30000
-72.20080,-44.06690,7.90000
-71.84610,-44.23940,5.00000
-72.55970,-44.32280,9.00000
-71.30640,-44.49750,0.90000
-71.67360,-44.64720,2.30000
-72.26610,-44.66530,6.30000
-72.68140,-44.72780,9.20000
-72.14780,-45.17330,4.30000
-71.52920,-45.26690,1.30000
-71.70920,-45.27060,1.50000
-71.98220,-45.37190,2.30000
-72.70000,-45.40060,7.30000
-72.48780,-45.40360,5.40000
-72.62310,-45.40580,5.80000
-72.81780,-45.46440,7.80000
-71.60440,-45.48030,0.90000
-72.05890,-45.55110,2.50000
-72.06810,-45.55170,2.10000
-72.02860,-45.57390,2.40000
-72.15390,-46.12060,1.70000
-71.99080,-46.26920,1.40000
-71.93360,-46.28920,1.80000
-72.66860,-46.46190,3.50000
-71.70890,-46.54360,0.80000
-72.70080,-46.84280,2.20000
-72.48440,-47.11640,0.60000
-72.72580,-47.14140,2.20000
-72.56440,-47.25170,1.50000
-73.53580,-47.79970,6.60000
-73.08890,-48.15920,6.10000
-72.32280,-48.20830,0.70000
-72.55890,-48.46920,2.40000
-72.59530,-48.51690,3.30000
-72.73940,-48.87750,2.10000
-74.40690,-49.12280,8.60000
-73.11250,-50.82280,2.50000
-72.90470,-50.84140,1.50000
-72.33140,-50.89860,0.80000
-72.79250,-50.96030,1.80000
-72.71060,-51.01080,1.00000
-72.51690,-51.05080,0.70000
-72.99330,-51.07830,2.40000
-72.96690,-51.18420,2.00000
-72.32720,-51.26000,0.90000
-73.10920,-51.33280,4.50000
-72.32970,-51.69750,0.80000
-72.47810,-51.73360,1.40000
-72.15920,-51.82330,1.10000
-71.94140,-52.03000,1.00000
-70.73330,-52.03420,0.60000
-71.94190,-52.03890,1.40000
-71.42470,-52.05110,0.80000
-69.60780,-52.16440,0.80000
-71.68060,-52.20920,1.80000
